Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-08-11 00:00:00-04:00,8.890218734741211,8.927557490642357,8.890218734741211,8.890218734741211,11909600,0.0,0.0
1999-08-12 00:00:00-04:00,8.890218734741211,10.001496076583862,8.890218734741211,8.890218734741211,4982500,0.0,0.0
1999-08-13 00:00:00-04:00,9.740926400099397,9.74249094205652,9.297980154331071,9.48289680480957,1265400,0.0,0.0
1999-08-16 00:00:00-04:00,9.334652800893917,9.334729671478271,8.890218734741211,8.890218734741211,1166300,0.0,0.0
1999-08-17 00:00:00-04:00,8.889684793124797,8.927557119743938,8.149366834944539,8.186705589294434,1250800,0.0,0.0
1999-08-18 00:00:00-04:00,8.26092777113866,8.557132193156193,8.001197313007555,8.445708274841309,653600,0.0,0.0
1999-08-19 00:00:00-04:00,8.406025674517664,8.408959190900777,8.075279898080417,8.260788917541504,656000,0.0,0.0
1999-08-20 00:00:00-04:00,8.222237486406554,8.40896179691906,8.149367560327581,8.371623039245605,291900,0.0,0.0
1999-08-23 00:00:00-04:00,8.406026636858362,8.816132274167291,8.33487500841624,8.593876838684082,1649700,0.0,0.0
1999-08-24 00:00:00-04:00,8.628508384998076,9.297983353687663,8.593878186438694,8.964303970336914,1399200,0.0,0.0
1999-08-25 00:00:00-04:00,8.889685461827693,8.890219034137074,8.70530231544225,8.779387474060059,442700,0.0,0.0
1999-08-26 00:00:00-04:00,8.742048182039179,8.742048182039179,8.593877873869024,8.667963027954102,257500,0.0,0.0
1999-08-27 00:00:00-04:00,8.66720457699212,8.742048263549805,8.445707644446422,8.742048263549805,420000,0.0,0.0
1999-08-30 00:00:00-04:00,8.705300734221588,8.705300734221588,8.483045298738379,8.593876838684082,89800,0.0,0.0
1999-08-31 00:00:00-04:00,8.5221040818593,8.927557410165068,8.371622566415482,8.816133499145508,321600,0.0,0.0
1999-09-01 00:00:00-04:00,8.821977936785084,8.853472834378694,8.40896187254494,8.445708274841309,255100,0.0,0.0
1999-09-02 00:00:00-04:00,8.406028803619002,8.483047485351562,8.33487715683664,8.483047485351562,165900,0.0,0.0
1999-09-03 00:00:00-04:00,8.628509398552016,8.779388287507189,8.445708864960553,8.631217956542969,170000,0.0,0.0
1999-09-07 00:00:00-04:00,8.77360864307318,8.927557245083452,8.667963027954102,8.667963027954102,796100,0.0,0.0
1999-09-08 00:00:00-04:00,8.589816828936067,8.705300734221588,8.55713044389945,8.593876838684082,385000,0.0,0.0
1999-09-09 00:00:00-04:00,8.628506044001755,8.667960991517512,8.038533507502594,8.260788917541504,429200,0.0,0.0
1999-09-10 00:00:00-04:00,8.297537485758465,8.297537485758465,7.7789413928985605,8.00119686126709,1545600,0.0,0.0
1999-09-13 00:00:00-04:00,7.999749267128899,8.593876838684082,7.890364137449822,8.593876838684082,405100,0.0,0.0
1999-09-14 00:00:00-04:00,8.589816828936067,8.742047129006222,8.55713044389945,8.593876838684082,402600,0.0,0.0
1999-09-15 00:00:00-04:00,8.589817743034173,8.59387775321424,8.186705589294434,8.186705589294434,459200,0.0,0.0
1999-09-16 00:00:00-04:00,8.222234938255935,8.408959190900777,8.149365034760054,8.260788917541504,141600,0.0,0.0
1999-09-17 00:00:00-04:00,8.222234938255935,8.371620444798964,8.149365034760054,8.260788917541504,83700,0.0,0.0
1999-09-20 00:00:00-04:00,8.297538870142173,8.297538870142173,7.8530278592417,7.964451789855957,167400,0.0,0.0
1999-09-21 00:00:00-04:00,7.9320377033913445,7.96445109221356,7.704856847371515,7.7421956062316895,120800,0.0,0.0
1999-09-22 00:00:00-04:00,8.183540895294962,8.186705589294434,7.816279824069682,8.186705589294434,174400,0.0,0.0
1999-09-23 00:00:00-04:00,8.33487601240283,8.742048182039179,8.33487601240283,8.667963027954102,472400,0.0,0.0
1999-09-24 00:00:00-04:00,8.667202459920954,8.705299737619326,8.149365034760054,8.260788917541504,226400,0.0,0.0
1999-09-27 00:00:00-04:00,8.22223774773022,8.29753814332317,7.630771685377558,7.7421956062316895,380700,0.0,0.0
